method,controller_mode,benchmark,seed,source_config_path,run_id,generations,final_generation,final_hv,best_hv,best_generation,hv_auc,mean_hv,final_feasible_ratio,final_rank1_ratio,final_igd,final_igd_plus,final_spacing,final_spread,runtime_s,llm_overhead_s,num_actions,num_experiences,events_path,experiences_path,config_snapshot_path,generation_log_path,action_log_path,summary_path
real_llm_chain,real_llm,unknown,100,tmp_seed_configs\real_llm_seed_100.yaml,run-9cd6f6d280b5,12,12,1.9717999999999993,3.6333000000000015,0,2.1039384615384615,2.1039384615384615,1.0,1.0,0.0,0.0,0.09999999999999942,0.15151686465822795,77.11704530008137,76.96835380012635,3,3,experiments\runs\main_results\real_llm\seed_100\events.jsonl,experiments\runs\main_results\real_llm\seed_100\experiences.jsonl,experiments\runs\main_results\real_llm\seed_100\config_snapshot.yaml,experiments\runs\main_results\real_llm\seed_100\generation_metrics.jsonl,experiments\runs\main_results\real_llm\seed_100\actions.jsonl,experiments\runs\main_results\real_llm\seed_100\summary.json
real_llm_chain,real_llm,unknown,1234,tmp_seed_configs\real_llm_seed_1234.yaml,run-545891dfc6c3,12,12,1.9717999999999993,4.672800000000002,0,2.462753846153846,2.462753846153846,1.0,1.0,0.0,0.0,0.09999999999999942,0.15151686465822795,83.63818090001587,83.49852949997876,3,3,experiments\runs\main_results\real_llm\seed_1234\events.jsonl,experiments\runs\main_results\real_llm\seed_1234\experiences.jsonl,experiments\runs\main_results\real_llm\seed_1234\config_snapshot.yaml,experiments\runs\main_results\real_llm\seed_1234\generation_metrics.jsonl,experiments\runs\main_results\real_llm\seed_1234\actions.jsonl,experiments\runs\main_results\real_llm\seed_1234\summary.json
real_llm_chain,real_llm,unknown,2024,tmp_seed_configs\real_llm_seed_2024.yaml,run-d1414b17673c,12,12,2.1011999999999986,3.745300000000001,0,2.373738461538461,2.373738461538461,1.0,1.0,0.0,0.0,0.09999999999999942,0.24406273820220042,75.76806450006552,75.58448949991725,3,3,experiments\runs\main_results\real_llm\seed_2024\events.jsonl,experiments\runs\main_results\real_llm\seed_2024\experiences.jsonl,experiments\runs\main_results\real_llm\seed_2024\config_snapshot.yaml,experiments\runs\main_results\real_llm\seed_2024\generation_metrics.jsonl,experiments\runs\main_results\real_llm\seed_2024\actions.jsonl,experiments\runs\main_results\real_llm\seed_2024\summary.json
real_llm_chain,real_llm,unknown,42,tmp_seed_configs\real_llm_seed_42.yaml,run-e03b334f98b9,12,12,2.4893999999999985,5.1408000000000005,0,2.771576923076922,2.771576923076922,1.0,1.0,0.0,0.0,0.3435112807463529,0.35484340717696916,96.13196510006674,95.99170659994707,3,3,experiments\runs\main_results\real_llm\seed_42\events.jsonl,experiments\runs\main_results\real_llm\seed_42\experiences.jsonl,experiments\runs\main_results\real_llm\seed_42\config_snapshot.yaml,experiments\runs\main_results\real_llm\seed_42\generation_metrics.jsonl,experiments\runs\main_results\real_llm\seed_42\actions.jsonl,experiments\runs\main_results\real_llm\seed_42\summary.json
real_llm_chain,real_llm,unknown,9999,tmp_seed_configs\real_llm_seed_9999.yaml,run-50ce09ea7c78,12,12,2.1011999999999986,3.809300000000002,1,2.4434461538461534,2.4434461538461534,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,76.25251800008118,76.08743529987987,3,3,experiments\runs\main_results\real_llm\seed_9999\events.jsonl,experiments\runs\main_results\real_llm\seed_9999\experiences.jsonl,experiments\runs\main_results\real_llm\seed_9999\config_snapshot.yaml,experiments\runs\main_results\real_llm\seed_9999\generation_metrics.jsonl,experiments\runs\main_results\real_llm\seed_9999\actions.jsonl,experiments\runs\main_results\real_llm\seed_9999\summary.json
baseline_rule_control,rule,unknown,100,tmp_seed_configs\rule_control_seed_100.yaml,run-b55a1e84fa13,20,20,1.9717999999999993,3.6333000000000015,0,2.1200571428571426,2.1200571428571426,1.0,1.0,0.0,0.0,0.09999999999999942,0.15151686465822795,0.221655200002715,0.00020720006432384253,4,4,experiments\runs\main_results\rule_control\seed_100\events.jsonl,experiments\runs\main_results\rule_control\seed_100\experiences.jsonl,experiments\runs\main_results\rule_control\seed_100\config_snapshot.yaml,experiments\runs\main_results\rule_control\seed_100\generation_metrics.jsonl,experiments\runs\main_results\rule_control\seed_100\actions.jsonl,experiments\runs\main_results\rule_control\seed_100\summary.json
baseline_rule_control,rule,unknown,1234,tmp_seed_configs\rule_control_seed_1234.yaml,run-a531bf44330e,20,20,2.1011999999999986,4.672800000000002,0,2.349666666666666,2.349666666666666,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,0.21372130000963807,0.00015009997878223658,4,4,experiments\runs\main_results\rule_control\seed_1234\events.jsonl,experiments\runs\main_results\rule_control\seed_1234\experiences.jsonl,experiments\runs\main_results\rule_control\seed_1234\config_snapshot.yaml,experiments\runs\main_results\rule_control\seed_1234\generation_metrics.jsonl,experiments\runs\main_results\rule_control\seed_1234\actions.jsonl,experiments\runs\main_results\rule_control\seed_1234\summary.json
baseline_rule_control,rule,unknown,2024,tmp_seed_configs\rule_control_seed_2024.yaml,run-09e997d86877,20,20,2.1011999999999986,3.745300000000001,0,2.236919047619047,2.236919047619047,1.0,1.0,0.0,0.0,0.09999999999999942,0.24406273820220042,0.22341749991755933,0.00015590002294629812,4,4,experiments\runs\main_results\rule_control\seed_2024\events.jsonl,experiments\runs\main_results\rule_control\seed_2024\experiences.jsonl,experiments\runs\main_results\rule_control\seed_2024\config_snapshot.yaml,experiments\runs\main_results\rule_control\seed_2024\generation_metrics.jsonl,experiments\runs\main_results\rule_control\seed_2024\actions.jsonl,experiments\runs\main_results\rule_control\seed_2024\summary.json
baseline_rule_control,rule,unknown,42,tmp_seed_configs\rule_control_seed_42.yaml,run-aa71459e9499,20,20,2.4893999999999985,5.1408000000000005,0,2.668842857142856,2.668842857142856,1.0,1.0,0.0,0.0,0.3435112807463529,0.35484340717696916,0.2177557999966666,0.00017050013411790133,4,4,experiments\runs\main_results\rule_control\seed_42\events.jsonl,experiments\runs\main_results\rule_control\seed_42\experiences.jsonl,experiments\runs\main_results\rule_control\seed_42\config_snapshot.yaml,experiments\runs\main_results\rule_control\seed_42\generation_metrics.jsonl,experiments\runs\main_results\rule_control\seed_42\actions.jsonl,experiments\runs\main_results\rule_control\seed_42\summary.json
baseline_rule_control,rule,unknown,9999,tmp_seed_configs\rule_control_seed_9999.yaml,run-af23413db04c,20,20,2.1011999999999986,3.809300000000002,1,2.313066666666666,2.313066666666666,1.0,1.0,0.0,0.0,0.1673320053068145,0.21235362348371653,0.2207132000476122,0.00014849996659904718,4,4,experiments\runs\main_results\rule_control\seed_9999\events.jsonl,experiments\runs\main_results\rule_control\seed_9999\experiences.jsonl,experiments\runs\main_results\rule_control\seed_9999\config_snapshot.yaml,experiments\runs\main_results\rule_control\seed_9999\generation_metrics.jsonl,experiments\runs\main_results\rule_control\seed_9999\actions.jsonl,experiments\runs\main_results\rule_control\seed_9999\summary.json
